left_wrist_angle,right_wrist_angle,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,left_ankle_angle,right_ankle_angle,left_hip_angle,right_hip_angle,target
225.7476835856944,190.64937849431053,212.14034777404012,190.05304026593836,197.65557816187683,149.51509239971196,2.115498686721582,31.333093506173416,191.5645802994335,171.7811263181656,105.83257047991232,77.52280133626108,child_pose
213.0578006885733,209.2348028533036,208.85931124105844,206.1501480089077,260.36768457167364,93.1514901646149,34.07203445095477,43.600111584883415,113.6549920409066,131.44738816464547,93.67351055801822,84.67414087661992,child_pose
155.01721785849975,123.31795540969492,170.24924167307395,162.944687728036,93.76500017097844,258.4088829973975,311.0992140105471,317.65433290254805,172.9372468350717,154.69426549327042,73.80088279666724,103.7329850061963,child_pose
159.3308108211009,163.44131860434024,147.58157036046453,108.95853878193128,79.95668856402128,271.70053636284234,152.93048261417417,184.86854224111016,118.97639523420912,158.88541920466372,122.21651278772566,59.47667244901852,cat_cow_pose
157.05312888696608,136.0042051749384,174.56864442091626,172.01873998059483,137.41289626698048,59.4255454430784,51.23557766746087,171.94938736125567,146.88987104351057,216.5003358218976,346.6178713620914,87.27501618227132,reclining_twist_pose
193.72252178899572,178.8892405797303,170.876520454787,174.337226705384,344.9702206828196,26.464056058529632,178.74185981443895,186.8087702425386,120.17135888498966,120.77596916731711,90.69341475034122,88.14596778335047,corpse_pose
154.25541821546065,137.87597815993743,148.68079568834003,152.9497296138792,102.85629256841662,255.693020783322,316.50353315327266,318.9892766174787,230.01776771869743,247.5265719483445,59.69524079091659,119.27714505026944,child_pose
241.570813795241,212.72898625200628,196.8462159240426,198.78800675986488,254.2964129510681,98.4273332943541,43.50328919641049,51.34385153966611,118.5413822590206,137.9151644228826,109.8794215090404,76.14386447838224,child_pose
113.36365919321211,102.5191187258424,175.21654298740216,173.79014082381354,63.41958457207448,289.4928818511943,281.54589136659945,278.5667261618455,195.395404454263,207.16265304144184,35.86529327574154,143.4444855826755,cat_cow_pose
144.59263983970902,180.4758430025459,168.44094438044044,171.86009898837824,345.8176825146646,27.62704886536228,178.98651656373596,185.9682927079891,118.06469555831676,117.89674514542672,90.37006946682789,89.00768184458424,corpse_pose
117.2844806399829,147.28594875585776,138.40035059047406,132.339654591383,355.86566425539206,7.3993948261311715,323.40342160100795,15.14859946418092,167.44096461918227,174.86182175296452,155.03817440904714,50.87459054009266,corpse_pose
235.92039909978,214.84221192264232,183.91829993242015,187.36147456178784,278.7222240330847,78.88075357103926,69.73570014008517,68.48440108619712,127.76313983076696,156.10003090706576,133.71736936397537,42.68140834125016,cat_cow_pose
